店名,カテゴリ,緯度,経度,住所,最寄駅,メニュー,営業時間,定休日,電話,辛さ,テイクアウト,ガイドブックページ,位置概算,公式ページ
キッチンきらく,欧風,35.695571,139.759399,千代田区神田神保町1-5 M2神保町1F,地下鉄神保町A7出口 徒歩2分,"キッチンきらくのカレーライス ￥1,170～ （半カレー￥600） / キーマカレーライス ￥1,170～ / カツカレーライス ￥1,940～",月火木金 11:00～15:00（LO14:30） / 土日祝 11:00～17:00（LO16:30）,水曜日、年末年始、不定休あり,080-7293-0731,やや辛い,あり,30,,https://kanda-curry.com/きっちんきらく/
魚匠屋 神田須田町店,欧風,35.695443,139.77002,千代田区神田須田町1-14,地下鉄神田駅6番出口徒歩2分 / 地下鉄淡路町駅A1出口徒歩3分 / JR神田駅北口徒歩5分,"メインメニュー名： / 粗挽き牛肉のスパイスキーマ（ランチ） ￥1,300 / その他 / 粗挽き牛肉のスパイスキーマ（ディナー） ￥1,539 / 粗挽き牛肉のスパイスキーマ ハーフ（ディナーのみ） ￥989",平日ランチ 11:30～14:00（LO13:30） / 平日ディナー 17:00～23:00（LO22:00） / ※ディナータイム21:40が最終入店時間です,土日祝,090-9225-1755,やや辛い,なし,31,,https://kanda-curry.com/?p=19802
黒毛和牛カレー専門店 烏山カレー,欧風,35.693143,139.783988,中央区日本橋横山町8-5 日本橋88ビル1F,地下鉄馬喰横山駅A1出口 徒歩2分 / JR馬喰町駅3番出口 徒歩2分 / 地下鉄東日本橋駅B4出口 徒歩3分,"メインメニュー / 黒毛和牛スネ肉塊ビーフカレー 黒毛和牛100g ￥1,400 / その他 / 黒毛和牛スジ煮込みカレー ￥1,200 / 黒毛和牛スネ肉塊ビーフカレー 黒毛和牛150g ￥1,800",月～土ランチ 11:30〜15:00（LO14:30） / 月～金ディナー 18:00〜20:30（LO20:00）,土ディナー、日・祝,080-4591-9826,調整可能,あり,31,,https://kanda-curry.com/?p=19816
Cozy,欧風,35.691374,139.767805,千代田区内神田2-12-3,JR神田駅西口徒歩4分 / 銀座線神田駅徒歩6分 / 都営新宿線小川町駅徒歩8分,"キーマカレー ￥1,400 / チキンカレー ￥1,300 / ロースカツカレー ￥1,300",平日ランチ 10:30～17:00 / 平日ディナー 17:00～23:00（LO22:30）,土・日・祝、年末年始,03-5256-4566,中辛,あり,31,,https://kanda-curry.com/cozy/
Dining九段,欧風,35.693836,139.753362,千代田区九段南1-2-1 千代田区役所10Ｆ食堂フロア,地下鉄九段下駅5番出口 徒歩5分,カツカレー ￥690／大盛り￥790 / 野菜仕立てのキーマカレー ￥630／大盛り￥730 / 満菜カレー ￥540／大盛り￥640,ランチ 11:00～14:30（LO14:00） / ディナー 17:00～20:00（LO19:30）,土日祝、年末年始,080-6240-6151,辛くない,なし,32,,https://kanda-curry.com/dining九段/
とんかつ檍のカレー屋 いっぺこっぺ 秋葉原店,欧風,35.701905,139.76952,千代田区外神田3-5-3,地下鉄末広町駅 3番出口 徒歩3分 / JR秋葉原駅 電気街口 徒歩8分,"上ロースカツカレー ￥1,900 / ロースカツカレー ￥1,400 / 特上ロースカツカレー ￥2,500",11:00～20:00（LO）,年中無休,03-6384-0015,辛い,あり,32,,https://kanda-curry.com/?p=13372
とんかつ檍のカレー屋 いっぺこっぺ 神田小川町店,欧風,35.693789,139.765467,千代田区神田美土代町9-7 千代田21ビルディング 1F,小川町駅 B6出口 徒歩1分 / 新御茶ノ水駅 B6出口 徒歩1分,"上ロースかつカレー ¥1,800 / 上ひれかつカレー ¥1,800 / 特上ロースかつカレー ¥2,300",月～土ランチ 11:00~15:00(LO)  / 月～金ディナー 15:00~20:00(LO) / 祝 11:00~20:00(LO),日曜日、年末年始,03-5577-7444,中辛,あり,32,,https://kanda-curry.com/?p=16636
日本式カレー 弐番亭,欧風,35.696333,139.754562,千代田区神田神保町3-12-6 山瀬ビル1F,神保町駅 A2出口 徒歩2分 / 九段下駅 5番出口 徒歩3分 / JR水道橋駅 西口 徒歩11分,"タカギさん ￥2,195 / 手仕込みカツ＆揚げ卵 ￥1,199 / 目玉焼き＆赤ウィンナー ￥999",平日 11:00～16:00（LO） /  17:00～21:00（LO） / 土日祝 11:00～20:30（LO）,お盆、年末年始,080-7600-9696,調整可能,あり,33,,https://kanda-curry.com/カレーの弐番亭-神保町本店/
ハンバーグレストラン 牛舎本店,欧風,35.703247,139.770153,千代田区外神田6−5−9,地下鉄末広町駅4番出口徒歩2分 / JR秋葉原駅徒歩8分,"ハンバーグカレー ¥1,500（ランチ￥1,450） / 牛100%手ごねハンバーグ180g ￥1,250（ランチ） / 牛100%手ごねハンバーグ1000g ￥4,800",ランチ 11:30〜15:30（LO15:00） / ディナー 17:30〜21:30（LO21:00） / ハンバーグなくなり次第終了,月曜と火曜の夜、お盆、年末年始,03-6803-0529,中辛,あり,33,,https://kanda-curry.com/ハンバーグレストラン牛舎/
冒険香る Roman Kitchen,欧風,35.702034,139.775146,台東区秋葉原1ｰ5ヨリモトビル１F,地下鉄秋葉原駅A3出口徒歩7分 / 地下鉄末広町7番出口徒歩6分,"大冒険カレー ￥1,750 / 悪魔の太陽トマトチーズカレー ￥1,350 / これぞ肉食ワイルドカレー ￥1,400（ランチのみ）",ランチ 月～土 11:00～15:00（LO14:30） / ディナー月～木 18:00～22:00（LO21:30）,日、年末年始,instagramのDMにて,辛くない,あり,33,,https://kanda-curry.com/?p=18657
MAJI CURRY 神田神保町本店,欧風,35.69621,139.761375,千代田区神田小川町3-10-7,地下鉄 神保町駅A5徒歩5分 / JR御茶ノ水駅御茶ノ水橋口徒歩5分,"グランプリカレー（月～土のみ） ￥1,460 / 特製ビーフカレー（月～土のみ） ￥1,060 / チキンスパイスカレー（日曜のみ） ￥1,500 / ↓ / 毎週日曜日はスパイスカレーのみの営業となります。",11:00～21:00（LO20:30）,年末年始,03-5282-4814,中辛,あり,34,,https://kanda-curry.com/maji-curry-神田神保町店/
メキシカン酒場 皇亭ペンギン,欧風,35.693806,139.764252,千代田区神田錦町1-14-7 紅雪神田錦町ビル1階A室,小川町駅淡路町駅B7出口徒歩2分,"皇亭キーマカレー ￥1,150 / 欧風カレー ￥1,050 / やみつきタコライス 1,000",月～金ランチ 11:30～15:00（LO14:45） / 月～土ディナー 18:00～24:00（LO23:00）,日祝、第2土曜、お盆、年末年始,03-6281-7177,調整可能,あり,34,概算,https://kanda-curry.com/皇亭ペンギン/
やっぱりステーキ 神田店,欧風,35.691195,139.772493,千代田区鍛冶町2-3-14フェリスビルB1F,JR神田駅東口 徒歩3分 / JR神田駅南口 徒歩4分,"メインメニュー名： / パリパリチキンの牛すじカレー（スープ・サラダ付） ￥1,300 / その他メニュー / 牛すじカレー（スープ・サラダ付） ￥800 / 肉キングGPカレー ￥1,800",11:00～22:00（LO21:30）,年末年始,03-6285-2919,やや辛い,あり,34,,https://kanda-curry.com/?p=15001
RAKUSPA1010神田,欧風,35.698174,139.768005,東京都千代田区神田淡路町2-9-9,JR御茶ノ水駅 聖橋口 徒歩5分 / 地下鉄新御茶ノ水駅B2出口 徒歩3分 / 地下鉄淡路町駅 A5出口 徒歩5分,"近江牛サウナカレー ￥1,357 / プレミアムロースかつカレー ￥1,518 / リポスパ ￥430",11:30～24:00（LO23:00）,設備メンテナンスの為、年2回,03-5207-2683,中辛,なし,35,概算,https://kanda-curry.com/rakuspa1010神田/
レストラン フォッセ,欧風,35.692061,139.737619,千代田区九段北4-2-25 アルカディア市ヶ谷 私学会館 2F,JR市ヶ谷駅 徒歩2分 / 地下鉄市ヶ谷駅1/A1/A4出口 徒歩2分,"メインメニュー / 季節の野菜カレー（ランチのみ） ￥1,540 / その他 / オムライス ランチ￥1,320／ディナー￥1,980 / ハンバーグステーキ ランチ￥1,760／ディナー￥1,980（単品）",11:00～21:00（LO20:20） / ランチタイム 11:00～14:30（LO）,年末年始,03-6685-0542,中辛,なし,35,,https://kanda-curry.com/?p=19814
Restaurant Mari,欧風,35.696612,139.766711,千代田区神田淡路町2-21-17 DEAR淡路町 1F,地下鉄 淡路町駅A5出口 徒歩3分 / 地下鉄 新御茶ノ水駅A3出口 徒歩3分,"季節の野菜とポークカレースペシャル ￥ 1,380 / チキンカレー ¥1,250 / オムライス ¥1,350",月～金 11:00 ～ 16:30（LO16:00）  / 土曜日 11:30 ～ 15:30（LO15:00）,日・祝、年末年始,03-6271-7232,調整可能,あり,35,,https://kanda-curry.com/restaurant-mari/
アロマズオブインディア,北インド・パキスタン,35.69681,139.76937,"〒101-0041 
千代田区神田須田町1-21-4 神田NKビル",JR秋葉原駅 6分 / 地下鉄神田駅 4分 / 地下鉄淡路町駅 3分 / 地下鉄小川町駅 4分,"チキンバターマサラ ￥1,500 / チキンミルチカレー ￥1,450 / チーズナン ￥750 / ランチAセット ￥900〜",ランチ 11：00〜15：00（LO14：30） / ディナー 17：00〜23：00（LO22：30）,12/31ディナー、1/1,03-3255-6126,調整可能,あり,36,,https://kanda-curry.com/?p=6901
インド・パキスタン料理シディーク 神保町店,北インド・パキスタン,35.6957,139.756,千代田区神田神保町2-7 1Ｆ～2Ｆ,都営三田線神保町駅 Ａ1出口 徒歩1分,"ラム ニハリ（ナンorライス付） ￥ 1,600 / バターチキンカレー（ナンorライス付） ￥1,200 / マトンカレー（ナンorライス付）￥1,200",11:00～21:00（LO20:30）,年末年始,03-3511-5758,やや辛い,あり,36,,https://kanda-curry.com/?p=707
インド・パキスタン料理 スルターン 飯田橋本店,北インド・パキスタン,35.700194,139.748671,千代田区飯田橋2-9-7 東西館ビル１Ｆ,JR 飯田橋駅 東口 徒歩3分,"2種類カレーセット（ランチ） ￥1,200 / ランチ日替わりカレーセット ￥1,000 / ディナー日替わりカレーセット ￥1,260～","ランチ 11:00～17:00(LO) / ディナー 17:00～23:00(LO 22:30)",年末年始,03-3263-7631,,あり,36,,https://kanda-curry.com/?p=3058
インドレストラン マンダラ,北インド・パキスタン,35.6951,139.757664,千代田区神田神保町2-17 集英社共同ビル Ｂ1Ｆ,,"チキンバターマサラ ￥1,300（ナン別） / タンドールチキン(3ピース) ￥1,740 / インディアンサラダ ￥550",平日ランチ 11:00～15:00（LO14:45） / 平日ディナー 17:00～23:00（LO22:00） / 土日祝 11:00～22:00（LO21:00）,年末年始,03-3265-0498,辛い 辛さ調整可能,あり,37,,https://kanda-curry.com/?p=1666
ガンディーマハル,北インド・パキスタン,35.695468,139.765307,〒101-0052千代田区神田小川町1-10保坂ビル2F,"地下鉄千代田線「新御茶ノ水駅」B3出口 徒歩30秒 / 都営新宿線「小川町駅」B4出口","野菜カリーランチセット ￥990 / ディナー2種カリーセット ￥1,078 / パーティープラン1名様 ￥2,000～",ランチ 11:00～15:00（LO 14:50） / ディナー 17:00～22:00（LO 21:50）,年末年始,03-5296-1238,5段階調節可能（3辛口が人気）,あり,37,,https://kanda-curry.com/?p=595
J.Tipple Bar,北インド・パキスタン,35.698814,139.758258,千代田区神田神保町1-64 野間ビル中2階,地下鉄神保町駅 A5出口 徒歩6分 /  JR水道橋駅 東口,"J.Tippleカレー ￥1,210 / サラダ各種 ￥825～ / キリン一番搾り生ビール ￥770",月～金 17:00～翌2:00,日・祝、年末年始,03-3294-8118,辛い,,37,,https://kanda-curry.com/?p=694
ジョニーのビリヤニ神田店,北インド・パキスタン,35.690811,139.769913,千代田区内神田3-8-1,JR神田駅西口 徒歩2分,"本日のビリヤニ ￥1,500 / 本日のビリヤニ 大盛り プラス￥400 / ラッシー ￥400",11:00～15:00（LO14:30）,不定休,instagramのDMにて,中辛,あり,38,,https://kanda-curry.com/ジョニーのビリヤニ神田店/
すぱいし家,北インド・パキスタン,35.699819,139.74742,千代田区飯田橋4-2-5-102,東西線飯田橋駅 A5出口 徒歩4分  / 地下鉄飯田橋 駅 A4出口 徒歩5分  / JR飯田橋駅 西口 徒歩5分,"バナナリーフで蒸し上げたチキンビリヤニ / ランチ¥1,250／ディナー¥1,628 / 甘くない大人のバターチキン ¥1,188 / パラックパニールのソテー ¥748",平日ランチ 11:30 ~ 14:00(LO)  / 平日ディナー 17:30 ~ 22:00(LO)  / 土曜ランチ 12:00～15:00(LO14:30) / 土曜ディナー 17:30～21:00(LO),日・祝、年末年始,03-6261-7131,調整可能,あり,38,,https://kanda-curry.com/すぱいし家/
スパイスカレー アルクロード,北インド・パキスタン,35.701486,139.745874,千代田区飯田橋4-8-11,JR飯田橋駅 東口徒歩1分 / 地下鉄飯田橋駅 A4出口 目の前,"スパイスチキンカレー ￥1,200 / イカとチキンのキーマカレー 1,200 / ビリヤニ ￥1,200",平日ランチ 11:00～15:00（LO15:00） / 平日ディナー 17:30～22:30（LO22:00） / 土日祝ランチ 11:00〜15:00（LO15:00） / 土日祝ディナー 17:30〜20:00（LO20:00）,GW、お盆、年末年始,03-6272-6322,辛い,あり,38,,https://kanda-curry.com/アルクロード-飯田橋店/
スルターン カレー&ケバブ,北インド・パキスタン,35.696218,139.751341,千代田区九段北1-3-6 セーキビル1F,東西線九段下駅5番出口 徒歩2分 / 九段下駅5番出口 徒歩2分,"ニハリセット(ナンorライス、サラダ・ドリンク付) ¥1,600 / 日替わりカレーセット(ナンorライス) ランチ¥1,000/ディナー¥1,260 / ラムビリヤニ ¥1,500",ランチ 11:00 ~ 17:00(LO)  / ディナー 17:00 ~ 23:00(LO22:30),無休,03-6256-9605,調整可能,あり,39,,https://kanda-curry.com/?p=16751
タンドール料理 RB's ひつじや,北インド・パキスタン,35.693752,139.762513,千代田区神田錦町3-6-7 錦町スクエアビル1F,小川町駅 B7出口 徒歩5分 / 神保町駅 A9出口 徒歩5分,"ランチCセット(チュニジア餃子やシークカバブ付セット) ¥1,499 / タンドリービリヤニ ¥2,000 / 1カレーセット(ドリンク付) ¥1000",ランチ 11:00~15:00(LO14:30)  / ディナー 17:00~22:30(LO22:00),不定休,03-6811-0888,調整可能,あり,39,,https://kanda-curry.com/?p=16757
アジアンキッチン,東インド・ネパール,35.697317,139.754753,千代田区神田神保町2-36 片桐ビル 1F,地下鉄神保町駅A2出口 徒歩3分,"メイン / スパイス香る薬膳チキンカレー ￥1,300 / その他 / マトンハンバーグカレー ￥1,100 / カツカレー定食 ￥1,050",11:00〜22:30（LO）,不定休,03-4330-1034,調整可能,あり,39,,https://kanda-curry.com/?p=16628
インド・アジアン料理 プルナ （PURNA）,東インド・ネパール,35.6949,139.765577,千代田区 神田小川町1-8-14 神田新宮嶋ビル 2F,地下鉄小川町駅 B4出口 徒歩10秒 / 地下鉄新御茶ノ水駅 B3出口 徒歩3分,"小川町ターリー ¥1,290（ランチ） / 日替わりカレー ¥990（ランチ） / バターチキンカレー ¥1,090（ランチ）",ランチ 11:00～16:00（LO） / ディナー 16:00～23:00（LO22:30),年末年始,03-3258-5055,調整可能,あり,40,,https://kanda-curry.com/?p=2139
インド料理 ザ・タンドール,東インド・ネパール,35.690681,139.766144,千代田区 内神田1-5-11 セントラル大手町ビル1階,大手町駅 C2b 徒歩4分 / 小川町駅 A6 徒歩5分 / JR神田駅 西口 徒歩5分,"タンドールスペシャルタリ ￥1,690 / ランチカレーセット ￥980～ / ランチお持ち帰り ￥600～",ランチ（平日） : 11:00～15:00（LO） / ディナー（月～金）: 17:00～23:00（LO） / ※土日祝はランチのみの営業になります,年末年始,03-5280-1630,やや辛い,あり,40,,https://kanda-curry.com/?p=2911
Gravy,東インド・ネパール,35.694036,139.762684,千代田区神田小川町3-11-2,神保町駅A9出口より徒歩5分 / 小川町駅・淡路町駅B7出口より徒歩4分,"ベジタブルダルバート ランチ¥1,500／ディナー￥1,900 / ラムビリヤニ ¥1200～ / 2色カレーセット ¥1,000（ランチのみ）",ランチ 11:00～15:00（LO14:30） / ディナー 17:00～22:00（LO21:30）,年末年始,03-5244-5128,調整可能,あり,40,,https://kanda-curry.com/gravy/
SAINO,東インド・ネパール,35.699719,139.757691,千代田区神田猿楽町2-6-5,JR水道橋駅東口出口徒歩5分 / 地下鉄神保町駅Ａ5出口徒歩6分,"ランチスペシャルセット ￥1,100 / ランチカレーセット ￥900～￥1,050 / ターリーセット(ディナーのみ） ￥1,750",ランチ（平日） 11：00～17：00（LO） / ランチ（土日祝）11：00～15：00（LO） / ディナー 17：00～23：00（LO 22：00）,年末年始,03-3233-0855,調整可能,あり,41,,https://kanda-curry.com/saino/
SUN & MOON Asian Dining & Bar,東インド・ネパール,35.694104,139.778266,千代田区岩本町2-15-17 桃井ビル1F,岩本町駅 4番出口 徒歩6分 / 小伝馬町駅 2番出口 徒歩6分,"バターチキンカレーAセット（ナンorライス） ￥1,200（ランチ￥1,000） / バターチキンカレー(単品)ハーフサイズ ¥700 / モモ ¥700",24時間営業 / ランチ 11:00～LO15:00,無休,03-5809-1145,調整可能,あり,41,,https://kanda-curry.com/?p=16642
ダルバール,東インド・ネパール,35.691344,139.739102,千代田区九段南4-7-22 B1F,市ケ谷駅 A3出口 徒歩2分,"バターチキンカレー ¥990 / マトンサグ ¥1,090 / シーフードカレー ¥1,150",ランチ 11:00~17:00(LO16:30)  / ディナー 17:00~23:00(LO22:30),無休,03-3221-9996,調整可能,あり,41,,https://kanda-curry.com/ダルバール/
ベンガル料理 TORKARI 神保町本店,東インド・ネパール,35.697365,139.755214,千代田区神田神保町2-34 フェニックス神保町ビル1F,地下鉄 神保町駅 A2出口 徒歩2分 / 地下鉄 九段下駅 5番出口 徒歩5分,"ドス・ミシャリ・プラス（ディナーのみ） ￥2,450 / ドス・ミシャリ・プラス（ランチのみ） ￥1,750 / ボルタ・バジセット（ランチのみ）￥1,500",ランチ 11:00～16:30（LO16:00） / ディナー 16:30～22:30（LO22:00）,年末年始,03-6721-5514,中辛 ※ボルタは激辛です。,あり,42,,https://kanda-curry.com/トルカリ/
スパイシービストロ タップロボーン 神保町店,南インド・スリランカ,35.696554,139.755651,千代田区神田神保町2-6-3 早川青砥ビル1F,地下鉄神保町駅 A2出口徒歩2分 / 地下鉄九段下駅 5番出口徒歩5分,"タップロボーン ヴィーガン赤米プレート ¥1,480 / （スタンプラリー期間中のみ。ディナータイム同価格） / ランプライスチキンカレーセット ￥2,200（ディナーのみ） / ラトゥキャクルワンプレート ￥1,480（ライスのみ）",ランチ 11:30～15:30（LO15:00） / ディナー 17:30～22:30（LO22:00）,"大変申し訳ありませんが、人手不足のため、
 日曜日はお休みすることがあります。
 日曜日当日に、お電話でご確認いただけますと幸いです。
 どうぞよろしくお願いいたします。
 （20251021）
年末年始",03-6878-0196,調整可能,あり,42,,https://kanda-curry.com/?p=11092
Spice&Herb memento mori,南インド・スリランカ,35.697017,139.757173,千代田区神田神保町2-14-2F 各国ワインと蒸留酒酒場 ワイン焼酎208内,神保町駅 A4出口 徒歩1分,"3種盛りプレート ￥1,800 / 2種盛りプレート ¥1,400 / レンズ豆カレー(1種盛り) ¥1,100",11:00~14:30(LO14:00),不定休、年末年始,03-6272-5310,中辛,なし,42,,https://kanda-curry.com/?p=16745
スパイスバル BODHISENA（ボーディセナ）,南インド・スリランカ,35.69083,139.765968,千代田区内神田1-11-2 楠本第19ビル1F,JR神田駅西口 徒歩7分 / 地下鉄小川町駅A6出口 徒歩7分,"メインメニュー名： / 3種のミニカレーとビリヤニ（ランチのみ） ￥1,250 / その他メニュー / カレー1種セット（ランチのみ） ￥1,000 / ボーディセナ ミールス（ディナーのみ） ￥2,300",月～土ランチ 11:00～15:00（LO14:30） / 月～金ディナー 17:30～22:00（LO21:00）,日祝、お盆、年末年始,03-5283-5162,やや辛い,あり,43,,https://kanda-curry.com/?p=19808
Spice Box,南インド・スリランカ,35.692233,139.765894,千代田区内神田1-15-12第二斉木ビル1F,小川町駅B6出口 より徒歩3分,"2種カレーライスセット ￥1,500〜（ランチ） / ビリヤニ ￥1,958～ / カレー専用マヨネーズ ￥400（店頭にて販売中） / ※カレー専用マヨネーズをご購入でもスタンプ押します（土曜日のみ） / （20260730）",月～土ランチ 11:00～14:00（13:45） / 月～金ディナー 18:00～21:30（LO21:00） / 土ディナー 18:00～ 20:30（LO20:00） / ※スタンプ対応は土曜のみ / ※スマホ版も土曜のみ,日・祝、年末年始,03-5577-3909,調整可能,あり,43,,https://kanda-curry.com/スパイス-ボックス-（spice-box）/
TinTin SriLankan Curry,南インド・スリランカ,35.694143,139.762356,千代田区神田小川町3-11-2 インペリアルお茶の水B106,地下鉄小川町駅B7出口徒歩４分 / 地下鉄神保町駅A5出口徒歩5分 / JR御茶ノ水駅聖橋口徒歩10分,"メインメニュー名： / ティンティンカレープレート ￥1,400～ / ＋ イワシのスパイスフライ ￥400～ / その他メニュー / オプション 本日のデビル炒め ￥300～ / オプション スリランカコロッケ カトレット ￥200",火～土ランチ 11:30～15:00（LO14:30) / 火～土ディナー 17:30～22:00（LO21:30） / 日ランチ 11:30～17:00（LO16:30),"月曜日、年末年始
----------------
 7月より、お休みが増えます。
月曜日の定休日以外は、SNS等で情報発信いたします。等で情報発信いたします。
 どうぞよろしくお願いいたします。
 （20260705）",03-5921-0450,やや辛い,あり,43,,https://kanda-curry.com/?p=19806
南インドの定食と軽食 三燈舎,南インド・スリランカ,35.694784,139.762684,千代田区神田小川町3-2 古室ビル2階,神保町駅 徒歩4分 / 小川町 徒歩3分 / 御茶ノ水駅 徒歩8分,"ランチミールス ￥1,350（平日ランチタイムのみ） / サントーシャミールス ￥2,050（ディナータイムと土日ランチ） / プレーンドーサ ￥920",ランチ：11:00～15:30（LO15:00） / ディナー：17:30～22:00（LO21:00）,月曜日、夏期休暇、年末年始、臨時休業あり,050-3697-2547,やや辛い,あり,44,,https://kanda-curry.com/南インドの定食と軽食-三燈舎/
